Station Name: Oak_Park
Station Height: 62 M 
Latitude:52.857  ,Longitude: -6.909


date:  -  00 to 00 utc
rain:  -  Precipitation Amount (mm)
maxtp: -  Maximum Air Temperature (C)	  
mintp: -  Minimum  Air Temperature (C)
gmin:  -  09utc Grass Minimum Temperature (C)
soil:  -  Mean 10cm soil temperature (C)	
cbl:   -  Mean CBL Pressure (hpa)
wdsp:  -  Mean Wind Speed (kt)
hm:    -  Highest ten minute mean wind speed (kt)		                 
ddhm:  -  Wind Direction at max 10 min mean (deg)                  
hg:    -  Highest Gust (kt)
pe:    -  Potential Evapotranspiration (mm)  
evap:  -  Evaporation (mm)
smd_wd:-  Soil Moisture Deficits(mm) well drained
smd_md:-  Soil Moisture Deficits(mm) moderately drained
smd_pd:-  Soil Moisture Deficits(mm) poorly drained
glorad:-  Global Radiation (J/cm sq.)
ind:   -  Indicator (i)

date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
13-aug-2003,4, ,4, , , ,8, , , ,0,11,0,250,0,17, , , , , , , 
14-aug-2003,0,21.4,0,7.5, , ,0,0.0,1015.1,4.3,0,8,0,20,0,14, , , , , , , 
15-aug-2003,0,20.3,0,7.7, , ,0,0.0,1013.5,3.3,0,8,0,0,0,15, , , , , , , 
16-aug-2003,0,22.9,0,5.9, , ,0,0.0,1012.0,3.4,0,9,0,130,0,16, , , , , , , 
17-aug-2003,0,20.8,0,11.6, , ,0,1.5,1006.0,6.4,0,15,0,160,0,21, , , , , , , 
18-aug-2003,0,19.8,0,7.9, , ,0,0.1,1007.9,6.8,0,14,0,270,0,22, , , , , , , 
19-aug-2003,0,20.1,0,11.0, , ,0,0.0,1013.5,7.5,0,14,0,250,0,19, , , , , , , 
20-aug-2003,0,20.1,0,12.3, , ,0,0.0,1012.7,4.9,0,11,0,200,0,15, , , , , , , 
21-aug-2003,0,24.2,0,11.5, , ,0,0.0,1006.6,9.9,0,19,0,220,0,26, , , , , , , 
22-aug-2003,0,23.1,0,16.8, , ,0,0.0,1008.3,7.3,0,15,0,260,0,20, , , , , , , 
23-aug-2003,0,26.5,0,17.6, , ,0,0.1,1013.3,4.0,0,10,0,280,0,13, , , , , , , 
24-aug-2003,0,25.4,0,14.4, , ,0,0.0,1014.3,4.3,0,11,0,80,0,17, , , , , , , 
25-aug-2003,0,21.1,0,13.4, , ,0,0.0,1012.9,5.9,0,11,0,70,0,17, , , , , , , 
26-aug-2003,0,19.6,0,12.5, , ,0,0.0,1010.5,6.9,0,12,0,70,0,18, , , , , , , 
27-aug-2003,0,21.9,0,9.6, , ,0,0.0,1007.8,3.4,0,8,0,90,0,14, , , , , , , 
28-aug-2003,0,17.1,0,8.9, , ,0,0.0,1003.7,7.2,0,13,0,350,0,21, , , , , , , 
29-aug-2003,0,17.7,0,6.9, , ,0,0.0,1008.0,7.2,0,13,0,20,0,23, , , , , , , 
30-aug-2003,0,17.6,0,4.9, , ,0,0.0,1014.1,5.1,0,11,0,330,0,19, , , , , , , 
31-aug-2003,0,16.4,0,7.5, , ,0,0.0,1016.7,4.6,0,11,0,350,0,16, , , , , , , 
01-sep-2003,4, ,4, , , ,8, , , ,0,8,0,0,0,13, , , , , , , 
02-sep-2003,0,19.4,0,12.8, , ,0,0.0,1021.4,2.3,0,6,0,130,0,9, , , , , , , 
03-sep-2003,0,21.4,0,11.1, , ,0,0.0,1022.8,3.6,0,9,0,200,0,14, , , , , , , 
04-sep-2003,4, ,0,9.9, , ,8, , ,6.5,0,13,0,180,0,20, , , , , , , 
05-sep-2003,0,17.6,0,9.9, , ,0,0.1,1010.2,3.7,0,12,0,220,0,17, , , , , , , 
06-sep-2003,0,19.0,0,7.0, , ,0,0.0,1008.1,6.5,0,16,0,240,0,20, , , , , , , 
07-sep-2003,0,16.0,0,5.0, , ,0,2.8,1004.4,4.7,0,12,0,190,0,17, , , , , , , 
08-sep-2003,0,18.3,0,6.9, , ,0,0.1,1004.9,6.4,0,13,0,350,0,21, , , , , , , 
09-sep-2003,0,15.9,0,9.3, , ,0,3.2,1006.0,7.5,0,12,0,250,0,17, , , , , , , 
10-sep-2003,0,18.5,0,13.8, , ,0,1.2,1006.4,7.4,0,16,0,270,0,22, , , , , , , 
11-sep-2003,0,21.2,0,8.4, , ,0,0.1,1014.8,9.0,0,19,0,270,0,27, , , , , , , 
12-sep-2003,4, ,4, , , ,8, , , ,0,13,0,180,0,18, , , , , , , 
07-oct-2003,0,13.8,0,9.4, , ,0,2.2,1005.9,7.5,0,16,0,280,0,27, , , , , , , 
08-oct-2003,0,19.1,0,11.8, , ,0,0.1,1011.8,12.8,0,18,0,270,0,26, , , , , , , 
09-oct-2003,0,18.8,0,11.3, , ,0,0.2,1010.8,10.8,0,20,0,260,0,27, , , , , , , 
10-oct-2003,0,15.8,0,8.7, , ,0,0.0,1011.4,5.1,0,11,0,260,0,16, , , , , , , 
