Station Name: Ballyhaise
Station Height: 78 M 
Latitude:54.051  ,Longitude: -7.306


date:  -  00 to 00 utc
rain:  -  Precipitation Amount (mm)
maxtp: -  Maximum Air Temperature (C)	  
mintp: -  Minimum  Air Temperature (C)
gmin:  -  09utc Grass Minimum Temperature (C)
soil:  -  Mean 10cm soil temperature (C)	
cbl:   -  Mean CBL Pressure (hpa)
wdsp:  -  Mean Wind Speed (kt)
hm:    -  Highest ten minute mean wind speed (kt)		                 
ddhm:  -  Wind Direction at max 10 min mean (deg)                  
hg:    -  Highest Gust (kt)
pe:    -  Potential Evapotranspiration (mm)  
evap:  -  Evaporation (mm)
smd_wd:-  Soil Moisture Deficits(mm) well drained
smd_md:-  Soil Moisture Deficits(mm) moderately drained
smd_pd:-  Soil Moisture Deficits(mm) poorly drained
glorad:-  Global Radiation (J/cm sq.)
ind:   -  Indicator (i)

date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
01-jan-2006,0,8.1,0,3.1, , ,0,0.0,999.2,8.7,0,16,0,290,0,28, , , , , , , 
01-jan-2007,0,5.4,0,3.0, , ,0,4.3,999.5,10.1,0,20,0,260,0,33, , , , , , , 
02-jan-2007,0,9.0,0,4.3, , ,0,5.2,1011.5,10.4,0,17,0,270,0,35, , , , , , , 
03-jan-2007,0,11.9,0,7.7, , ,0,2.8,999.3,12.7,0,21,0,220,0,35, , , , , , , 
04-jan-2007,0,9.0,0,7.5, , ,0,5.8,998.7,11.3,0,17,0,240,0,27, , , , , , , 
05-jan-2007,0,9.8,0,5.8, , ,0,0.6,1000.1,10.5,0,15,0,210,0,26, , , , , , , 
06-jan-2007,0,8.9,0,5.4, , ,0,3.7,996.3,9.4,0,18,0,220,0,29, , , , , , , 
07-jan-2007,0,9.5,0,3.3, , ,0,8.5,984.7,9.4,0,17,0,230,0,30, , , , , , , 
08-jan-2007,0,12.0,0,3.3, , ,0,10.8,979.2,12.8,0,23,0,220,0,41, , , , , , , 
09-jan-2007,0,12.0,0,5.6, , ,0,7.9,980.6,10.4,0,22,0,260,0,37, , , , , , , 
