Station Name: Finner
Station Height: 33 M 
Latitude:54.490  ,Longitude: -8.239


date:  -  00 to 00 utc
rain:  -  Precipitation Amount (mm)
maxtp: -  Maximum Air Temperature (C)	  
mintp: -  Minimum  Air Temperature (C)
gmin:  -  09utc Grass Minimum Temperature (C)
soil:  -  Mean 10cm soil temperature (C)	
cbl:   -  Mean CBL Pressure (hpa)
wdsp:  -  Mean Wind Speed (kt)
hm:    -  Highest ten minute mean wind speed (kt)		                 
ddhm:  -  Wind Direction at max 10 min mean (deg)                  
hg:    -  Highest Gust (kt)
pe:    -  Potential Evapotranspiration (mm)  
evap:  -  Evaporation (mm)
smd_wd:-  Soil Moisture Deficits(mm) well drained
smd_md:-  Soil Moisture Deficits(mm) moderately drained
smd_pd:-  Soil Moisture Deficits(mm) poorly drained
glorad:-  Global Radiation (J/cm sq.)
ind:   -  Indicator (i)

date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
27-jan-2011,0,5.4,0,-1.7, , ,0,0.0,1021.2,5.0,0,9,0,90,0,13, , , , , , , 
28-jan-2011,0,3.8,0,-0.3, , ,0,0.0,1022.3,2.4,0,5,0,340,0,10, , , , , , , 
29-jan-2011,0,4.5,0,-3.5, , ,0,0.0,1022.2,2.2,0,5,0,120,0,5, , , , , , , 
30-jan-2011,0,6.1,0,-0.3, , ,0,0.0,1019.5,5.3,0,12,0,210,0,16, , , , , , , 
31-jan-2011,0,10.1,0,4.9, , ,0,3.9,1013.5,15.6,0,24,0,210,0,33, , , , , , , 
01-feb-2011,0,9.8,0,6.1, , ,0,0.6,1013.6,12.9,0,23,0,190,0,37, , , , , , , 
02-feb-2011,0,10.9,0,3.1, , ,0,6.4,1006.6,19.3,0,27,0,210,0,42, , , , , , , 
03-feb-2011,0,9.2,0,2.5, , ,0,8.1,1002.0,24.7,0,39,0,250,0,57, , , , , , , 
04-feb-2011,0,12.9,0,4.9, , ,0,9.5,995.2,22.9,0,39,0,230,0,54, , , , , , , 
05-feb-2011,0,8.0,0,5.1, , ,0,8.0,1001.8,7.2,0,19,0,250,0,28, , , , , , , 
06-feb-2011,0,7.1,0,4.8, , ,0,6.3,1002.9,4.5,0,9,0,270,0,13, , , , , , , 
07-feb-2011,0,7.7,0,1.9, , ,0,28.6,1000.4,12.5,0,23,0,280,0,35, , , , , , , 
08-feb-2011,0,9.3,0,1.8, , ,0,0.4,1006.9,10.9,0,18,0,130,0,29, , , , , , , 
09-feb-2011,0,10.1,0,5.8, , ,0,6.4,1003.5,7.6,0,16,0,200,0,25, , , , , , , 
10-feb-2011,0,8.1,0,0.3, , ,0,0.0,1004.2,6.8,0,15,0,120,0,20, , , , , , , 
11-feb-2011,0,11.1,0,3.5, , ,0,2.9,1000.9,8.5,0,15,0,160,0,22, , , , , , , 
12-feb-2011,0,7.7,0,1.3, , ,0,3.5,996.6,9.6,0,22,0,170,0,34, , , , , , , 
13-feb-2011,0,7.1,0,1.3, , ,0,0.2,988.3,3.6,0,10,0,250,0,12, , , , , , , 
14-feb-2011,0,6.6,0,0.7, , ,0,2.4,987.8,8.5,0,21,0,230,0,28, , , , , , , 
15-feb-2011,0,6.6,0,0.3, , ,0,2.5,979.4,10.8,0,17,0,110,0,27, , , , , , , 
16-feb-2011,0,9.7,0,0.3, , ,0,0.5,985.3,6.0,0,12,0,210,0,18, , , , , , , 
17-feb-2011,0,8.1,0,-1.0, , ,0,0.0,998.5,4.8,0,8,0,120,0,12, , , , , , , 
18-feb-2011,0,8.8,0,2.7, , ,0,11.6,998.2,11.5,0,18,0,120,0,29, , , , , , , 
19-feb-2011,0,11.5,0,5.7, , ,0,0.0,998.9,8.1,0,17,0,160,0,24, , , , , , , 
20-feb-2011,0,10.4,0,7.2, , ,0,1.2,1001.7,13.1,0,17,0,120,0,27, , , , , , , 
21-feb-2011,0,10.8,0,6.3, , ,0,0.6,1003.6,5.3,0,13,0,170,0,18, , , , , , , 
22-feb-2011,0,11.4,0,7.1, , ,0,5.7,1004.5,6.4,0,11,0,210,0,16, , , , , , , 
23-feb-2011,0,13.6,0,10.1, , ,0,0.8,1003.6,12.7,0,22,0,200,0,31, , , , , , , 
24-feb-2011,0,13.7,0,10.2, , ,0,0.0,1008.3,14.2,0,20,0,200,0,32, , , , , , , 
25-feb-2011,0,13.2,0,7.1, , ,0,5.2,1007.5,14.3,0,23,0,200,0,35, , , , , , , 
26-feb-2011,0,8.6,0,4.5, , ,0,1.5,1011.8,12.2,0,18,0,280,0,28, , , , , , , 
27-feb-2011,0,9.5,0,1.0, , ,0,5.0,1021.4,11.2,0,20,0,290,0,34, , , , , , , 
28-feb-2011,0,9.4,0,-0.6, , ,0,0.0,1030.6,2.9,0,6,0,120,0,9, , , , , , , 
01-mar-2011,0,11.2,0,3.6, , ,0,0.1,1034.1,5.0,0,11,0,180,0,18, , , , , , , 
02-mar-2011,0,9.5,0,2.1, , ,0,0.0,1032.4,4.8,0,10,0,190,0,16, , , , , , , 
03-mar-2011,0,11.7,0,2.9, , ,0,0.0,1033.4,4.4,0,7,0,110,0,11, , , , , , , 
04-mar-2011,0,8.4,0,1.6, , ,0,0.0,1030.3,3.8,0,8,0,110,0,10, , , , , , , 
05-mar-2011,0,10.8,0,4.6, , ,0,0.1,1028.1,4.6,0,9,0,110,0,12, , , , , , , 
06-mar-2011,0,8.0,0,5.2, , ,0,0.2,1026.3,5.8,0,10,0,110,0,13, , , , , , , 
07-mar-2011,0,9.9,0,5.3, , ,0,0.2,1021.6,4.6,0,10,0,200,0,13, , , , , , , 
08-mar-2011,0,10.1,0,4.8, , ,0,2.6,1011.3,16.1,0,28,0,280,0,41, , , , , , , 
09-mar-2011,0,9.3,0,3.1, , ,0,5.2,1003.7,22.7,0,31,0,270,0,43, , , , , , , 
10-mar-2011,0,8.8,0,2.7, , ,0,4.2,1001.6,24.7,0,36,0,250,0,48, , , , , , , 
11-mar-2011,0,6.3,0,1.4, , ,0,6.2,1002.0,8.1,0,21,0,240,0,27, , , , , , , 
12-mar-2011,0,5.5,0,0.4, , ,0,7.6,995.2,5.1,0,12,0,340,0,17, , , , , , , 
13-mar-2011,0,5.7,0,2.7, , ,0,5.4,999.7,14.9,0,24,0,20,0,34, , , , , , , 
14-mar-2011,0,7.7,0,2.0, , ,0,0.4,1010.0,8.7,0,19,0,20,0,29, , , , , , , 
15-mar-2011,0,8.4,0,0.5, , ,0,0.0,1012.6,4.4,0,8,0,280,0,11, , , , , , , 
16-mar-2011,0,12.1,0,-0.0, , ,0,0.0,1010.1,7.4,0,12,0,200,0,19, , , , , , , 
17-mar-2011,0,8.2,0,0.7, , ,0,1.8,1011.6,9.5,0,16,0,290,0,22, , , , , , , 
18-mar-2011,0,8.8,0,-0.2, , ,0,1.9,1020.2,7.2,0,15,0,210,0,19, , , , , , , 
19-mar-2011,0,11.4,0,0.5, , ,0,0.1,1022.4,9.4,0,15,0,160,0,24, , , , , , , 
20-mar-2011,0,12.4,0,7.5, , ,0,0.1,1021.1,9.9,0,14,0,250,0,20, , , , , , , 
21-mar-2011,0,16.0,0,7.9, , ,0,0.4,1026.8,9.2,0,18,0,230,0,28, , , , , , , 
22-mar-2011,0,13.0,0,8.1, , ,0,0.0,1032.8,4.8,0,10,0,240,0,13, , , , , , , 
23-mar-2011,0,14.8,0,5.3, , ,0,0.0,1034.8,4.4,0,8,0,310,0,11, , , , , , , 
