Station Name: Mt_Dillon
Station Height: 39 M 
Latitude:53.723  ,Longitude: -7.975


date:  -  00 to 00 utc
rain:  -  Precipitation Amount (mm)
maxtp: -  Maximum Air Temperature (C)	  
mintp: -  Minimum  Air Temperature (C)
gmin:  -  09utc Grass Minimum Temperature (C)
soil:  -  Mean 10cm soil temperature (C)	
cbl:   -  Mean CBL Pressure (hpa)
wdsp:  -  Mean Wind Speed (kt)
hm:    -  Highest ten minute mean wind speed (kt)		                 
ddhm:  -  Wind Direction at max 10 min mean (deg)                  
hg:    -  Highest Gust (kt)
pe:    -  Potential Evapotranspiration (mm)  
evap:  -  Evaporation (mm)
smd_wd:-  Soil Moisture Deficits(mm) well drained
smd_md:-  Soil Moisture Deficits(mm) moderately drained
smd_pd:-  Soil Moisture Deficits(mm) poorly drained
glorad:-  Global Radiation (J/cm sq.)
ind:   -  Indicator (i)

date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
10-dec-2006,0,12.7,0,4.9, , ,0,16.0,1003.4,16.9,0,24,0,230,0,37, , , , , , , 
11-dec-2006,0,10.0,0,3.4, , ,0,0.7,1000.6,12.0,0,21,0,230,0,30, , , , , , , 
12-dec-2006,0,9.9,0,4.6, , ,0,3.5,1002.7,13.7,0,25,0,210,0,37, , , , , , , 
13-dec-2006,0,13.0,0,7.9, , ,0,13.4,1003.1,18.3,0,27,0,210,0,46, , , , , , , 
14-dec-2006,0,12.7,0,6.1, , ,0,8.9,1004.8,9.3,0,21,0,210,0,31, , , , , , , 
15-dec-2006,0,6.8,0,1.2, , ,0,1.7,1011.3,6.7,0,12,0,260,0,18, , , , , , , 
16-dec-2006,0,7.7,0,1.0, , ,0,0.6,1016.2,7.2,0,11,0,240,0,16, , , , , , , 
17-dec-2006,0,6.9,0,1.5, , ,0,3.1,1018.8,6.2,0,8,0,220,0,13, , , , , , , 
18-dec-2006,0,5.8,0,1.5, , ,0,0.3,1023.8,3.0,0,6,0,50,0,10, , , , , , , 
19-dec-2006,0,4.0,0,1.2, , ,0,0.0,1032.3,3.1,0,5,0,200,0,8, , , , , , , 
20-dec-2006,0,2.2,0,-0.9, , ,0,0.0,1034.3,2.6,0,5,0,180,0,7, , , , , , , 
21-dec-2006,0,8.2,0,-0.4, , ,0,0.0,1035.3,6.0,0,11,0,170,0,17, , , , , , , 
22-dec-2006,0,6.6,0,0.6, , ,0,0.0,1037.2,4.0,0,5,0,190,0,7, , , , , , , 
23-dec-2006,0,4.8,0,-2.7, , ,0,0.0,1036.1,2.8,0,6,0,140,0,10, , , , , , , 
24-dec-2006,0,4.9,0,2.7, , ,0,0.0,1032.6,5.1,0,8,0,120,0,12, , , , , , , 
25-dec-2006,0,6.4,0,4.5, , ,0,0.0,1029.1,4.4,0,11,0,130,0,14, , , , , , , 
