Station Name: Markree
Station Height: 34 M 
Latitude:54.172  ,Longitude: -8.453


date:  -  00 to 00 utc
rain:  -  Precipitation Amount (mm)
maxtp: -  Maximum Air Temperature (C)	  
mintp: -  Minimum  Air Temperature (C)
gmin:  -  09utc Grass Minimum Temperature (C)
soil:  -  Mean 10cm soil temperature (C)
cbl:   -  Mean CBL Pressure (hpa)
ind:   -  Indicator (i)

date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,soil
20-aug-2007,0,17.8,0,11.5,4, ,0,11.7,1009.8,15.355
21-aug-2007,0,18.9,0,10.2,0,7.0,0,0.1,1020.3,14.392
22-aug-2007,0,15.2,0,12.4,0,10.0,0,0.1,1022.3,14.993
23-aug-2007,0,18.7,0,12.3,0,12.2,0,0.0,1021.2,16.270
24-aug-2007,0,20.8,0,14.3,0,14.9,0,0.3,1023.5,18.417
25-aug-2007,0,19.8,0,12.4,0,12.7,0,1.1,1025.3,17.438
26-aug-2007,0,17.5,0,10.7,0,10.2,0,0.0,1028.2,17.137
27-aug-2007,0,17.0,0,11.0,0,8.9,0,0.0,1025.4,16.785
28-aug-2007,0,17.5,0,10.8,0,10.4,0,0.1,1021.5,16.097
29-aug-2007,0,16.5,0,10.3,0,6.7,0,0.8,1021.4,15.855
30-aug-2007,0,16.7,0,13.2,0,12.7,0,1.6,1022.6,16.235
31-aug-2007,0,17.7,0,13.6,0,13.1,0,1.1,1020.6,15.793
01-sep-2007,0,18.6,0,13.1,0,11.1,0,0.4,1016.5,16.450
02-sep-2007,0,16.2,0,12.9,0,14.3,0,2.5,1013.2,16.160
03-sep-2007,0,17.2,0,8.9,0,8.1,0,0.1,1019.9,15.910
04-sep-2007,0,19.2,0,7.2,0,7.1,0,10.0,1025.2,15.140
05-sep-2007,0,18.4,0,14.0,0,11.9,0,0.4,1027.9,16.770
06-sep-2007,0,18.1,0,11.7,0,12.9,0,0.0,1030.2,17.100
07-sep-2007,0,18.0,0,9.7,0,8.7,0,0.2,1029.6,16.282
08-sep-2007,0,17.4,0,9.9,0,10.9,0,0.0,1027.6,15.988
09-sep-2007,0,18.3,0,13.0,0,12.6,0,0.0,1023.4,16.225
10-sep-2007,0,17.1,0,13.3,0,13.4,0,1.3,1021.4,16.630
11-sep-2007,0,17.2,0,13.3,0,12.9,0,0.4,1024.6,16.062
12-sep-2007,0,18.3,0,12.2,0,13.1,0,0.0,1025.2,15.882
13-sep-2007,0,17.7,0,11.6,0,12.8,0,2.0,1018.2,15.525
14-sep-2007,0,16.0,0,8.2,0,10.0,0,0.6,1017.5,15.077
15-sep-2007,0,17.7,0,7.7,0,7.7,0,0.3,1014.2,14.302
16-sep-2007,0,16.3,0,9.4,0,13.3,0,29.7,1002.9,15.408
17-sep-2007,0,12.7,0,2.8,0,7.9,0,3.0,1014.8,13.212
18-sep-2007,0,13.2,0,2.5,0,2.6,0,1.2,1016.3,11.613
19-sep-2007,0,17.3,0,11.1,0,10.4,0,2.0,1007.8,14.198
20-sep-2007,0,16.8,0,9.8,0,9.9,0,1.0,1005.7,13.952
21-sep-2007,0,16.2,0,7.5,0,9.9,0,5.7,1008.2,14.083
22-sep-2007,0,17.6,0,4.9,0,4.6,0,0.1,1007.5,13.432
23-sep-2007,0,17.1,0,9.4,0,10.8,0,4.9,1000.0,14.788
24-sep-2007,0,14.3,0,6.2,0,5.6,0,10.9,999.5,13.153
25-sep-2007,0,13.5,0,7.0,0,10.0,0,1.7,1014.8,13.025
26-sep-2007,0,12.2,0,2.2,0,4.3,0,0.0,1026.0,11.400
27-sep-2007,0,12.7,0,-0.9,0,1.8,0,0.0,1023.5,10.552
28-sep-2007,0,14.2,0,0.2,0,1.6,0,0.0,1016.9,10.920
29-sep-2007,0,13.6,0,6.1,0,6.1,0,4.0,1012.6,11.475
30-sep-2007,0,17.1,0,5.1,0,11.1,0,11.6,1015.2,12.705
01-oct-2007,0,17.0,0,3.1,0,5.0,0,0.1,1017.9,11.960
03-oct-2007,0,15.4,0,8.3,4, ,0,7.7,1009.8,13.613
04-oct-2007,0,16.5,0,4.9,0,5.6,0,0.0,1015.8,12.477
05-oct-2007,0,17.0,0,7.7,0,7.3,0,0.0,1018.0,12.740
06-oct-2007,0,17.4,0,8.8,0,11.6,0,0.0,1019.1,13.858
07-oct-2007,0,17.1,0,9.3,0,8.5,0,0.0,1018.7,13.775
08-oct-2007,0,15.3,0,6.0,0,5.5,0,13.8,1016.3,12.710
25-oct-2007,0,11.6,0,-0.1,4, ,0,0.0,1017.9,8.560
26-oct-2007,0,15.0,0,3.3,0,4.1,0,1.2,1011.4,9.955
27-dec-2007,0,11.5,0,7.2,4, ,0,7.7,1005.0,6.839
31-dec-2007,0,11.4,0,8.0,4, ,0,6.0,1015.2,6.957
01-mar-2008,0,12.3,0,6.3,4, ,0,2.2,1001.5,6.721
02-mar-2008,0,9.8,0,0.8,0,3.9,0,3.5,1004.5,6.663
03-mar-2008,0,5.6,0,-0.2,0,-2.6,0,13.2,1008.0,4.144
