Station Name: Gurteen
Station Height: 75 M 
Latitude:53.052  ,Longitude: -8.005


date:  -  00 to 00 utc
rain:  -  Precipitation Amount (mm)
maxtp: -  Maximum Air Temperature (C)	  
mintp: -  Minimum  Air Temperature (C)
gmin:  -  09utc Grass Minimum Temperature (C)
soil:  -  Mean 10cm soil temperature (C)	
cbl:   -  Mean CBL Pressure (hpa)
wdsp:  -  Mean Wind Speed (kt)
hm:    -  Highest ten minute mean wind speed (kt)		                 
ddhm:  -  Wind Direction at max 10 min mean (deg)                  
hg:    -  Highest Gust (kt)
pe:    -  Potential Evapotranspiration (mm)  
evap:  -  Evaporation (mm)
smd_wd:-  Soil Moisture Deficits(mm) well drained
smd_md:-  Soil Moisture Deficits(mm) moderately drained
smd_pd:-  Soil Moisture Deficits(mm) poorly drained
glorad:-  Global Radiation (J/cm sq.)
ind:   -  Indicator (i)

date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
09-feb-2008,0,13.4,0,6.0, , ,0,0.0,1015.2,10.7,0,20,0,160,0,27, , , , , , , 
10-feb-2008,0,7.8,0,4.6, , ,0,0.2,1021.4,6.4,0,10,0,130,0,14, , , , , , , 
11-feb-2008,0,11.2,0,4.1, , ,0,0.0,1020.0,8.1,0,13,0,140,0,20, , , , , , , 
12-feb-2008,0,11.8,0,2.7, , ,0,0.3,1023.8,5.1,0,10,0,130,0,16, , , , , , , 
13-feb-2008,0,13.5,0,1.2, , ,0,0.0,1026.6,3.3,0,7,0,160,0,11, , , , , , , 
14-feb-2008,0,8.9,0,-2.8, , ,0,0.0,1027.5,4.4,0,9,0,80,0,14, , , , , , , 
15-feb-2008,0,5.4,0,-3.6, , ,0,0.0,1029.2,2.6,0,6,0,100,0,9, , , , , , , 
16-feb-2008,0,6.5,0,-1.4, , ,0,0.0,1031.2,3.9,0,8,0,150,0,13, , , , , , , 
17-feb-2008,0,6.3,0,-3.8, , ,0,0.0,1029.3,3.0,0,6,0,40,0,8, , , , , , , 
18-feb-2008,0,6.9,0,-6.1, , ,0,0.0,1022.6,2.8,0,8,0,120,0,11, , , , , , , 
19-feb-2008,0,6.9,0,-3.8, , ,0,0.0,1013.3,4.7,0,9,0,180,0,14, , , , , , , 
20-feb-2008,0,8.5,0,2.5, , ,0,0.0,1008.0,7.2,0,12,0,240,0,16, , , , , , , 
21-feb-2008,0,11.9,0,5.6, , ,0,1.0,1007.2,16.7,0,22,0,230,0,34, , , , , , , 
22-feb-2008,0,12.0,0,5.4, , ,0,1.1,1010.0,15.9,0,24,0,260,0,38, , , , , , , 
23-feb-2008,0,12.2,0,6.2, , ,0,0.0,1007.8,13.4,0,19,0,220,0,27, , , , , , , 
24-feb-2008,0,11.0,0,1.3, , ,0,1.1,1005.4,9.5,0,17,0,280,0,26, , , , , , , 
25-feb-2008,0,11.3,0,0.9, , ,0,1.6,999.3,16.0,0,28,0,190,0,40, , , , , , , 
26-feb-2008,0,9.4,0,4.6, , ,0,0.6,996.7,15.1,0,25,0,270,0,36, , , , , , , 
27-feb-2008,0,10.1,0,1.4, , ,0,0.1,1007.6,5.9,0,10,0,250,0,13, , , , , , , 
28-feb-2008,0,9.2,0,2.3, , ,0,0.0,1010.3,6.3,0,10,0,240,0,15, , , , , , , 
29-feb-2008,0,11.8,0,4.5, , ,0,5.5,999.9,19.4,0,32,0,290,0,45, , , , , , , 
01-mar-2008,0,12.0,0,5.7, , ,0,0.3,999.4,16.3,0,26,0,280,0,38, , , , , , , 
02-mar-2008,0,9.7,0,0.9, , ,0,2.4,1002.0,12.2,0,22,0,260,0,37, , , , , , , 
03-mar-2008,0,4.8,0,0.1, , ,0,9.2,1004.4,10.6,0,20,0,330,0,31, , , , , , , 
04-mar-2008,0,9.7,0,0.2, , ,0,0.1,1020.5,7.8,0,15,0,300,0,23, , , , , , , 
05-mar-2008,0,9.5,0,3.2, , ,0,0.1,1023.3,9.9,0,18,0,250,0,25, , , , , , , 
06-mar-2008,0,9.9,0,3.9, , ,0,3.0,1007.6,13.4,0,23,0,280,0,33, , , , , , , 
07-mar-2008,0,9.1,0,2.3, , ,0,2.7,997.1,12.5,0,22,0,250,0,34, , , , , , , 
08-mar-2008,0,10.6,0,3.3, , ,0,6.1,988.6,15.1,0,27,0,250,0,41, , , , , , , 
09-mar-2008,0,7.4,0,1.3, , ,0,4.9,968.9,13.3,0,35,0,150,0,48, , , , , , , 
10-mar-2008,0,8.0,0,1.7, , ,0,5.6,959.1,14.9,0,31,0,150,0,44, , , , , , , 
